personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type,source_url
David,Taupiac,M,"Libertés, Indépendants, Outre-mer et Territoires",Secrétaire de l'Assemblée nationale,Gers (2,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Bertrand,Sorre,M,Ensemble pour la République,Secrétaire de l'Assemblée nationale,Manche (2,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Sabrina,Sebaihi,F,Écologiste et Social,Secrétaire de l'Assemblée nationale,Hauts-de-Seine (4,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Mereana,Arbelot,F,Gauche Démocrate et Républicaine,Secrétaire de l'Assemblée nationale,Polynésie Française (3,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Sébastien,Peytavie,M,Écologiste et Social,Secrétaire de l'Assemblée nationale,Dordogne (4,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Maxime,Michelet,M,Union des droites pour la République,Secrétaire de l'Assemblée nationale,Marne (3,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Pierre,Henriet,M,Horizons & Indépendants,Secrétaire de l'Assemblée nationale,Vendée (5,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Marine,Hamelet,F,Rassemblement National,Secrétaire de l'Assemblée nationale,Tarn-et-Garonne (2,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Inaki,Echaniz,M,Socialistes et apparentés,Secrétaire de l'Assemblée nationale,Pyrénées-Atlantiques (4,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Gaëtan,Dussausaye,M,Rassemblement National,Secrétaire de l'Assemblée nationale,Vosges (2,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Blandine,Brocard,F,Les Démocrates,Secrétaire de l'Assemblée nationale,Rhône (5,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Xavier,Breton,M,Droite Républicaine,Secrétaire de l'Assemblée nationale,Ain (1,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Michèle,Tabarot,F,Droite Républicaine,Questeure de l'Assemblée nationale,Alpes-Maritimes (9,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Brigitte,Klinkert,F,Ensemble pour la République,Questeure de l'Assemblée nationale,Haut-Rhin (1,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Christine,Beaune,F,Socialistes et apparentés,Questeure de l'Assemblée nationale,Puy-de-Dôme (2,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Hélène,Laporte,F,Rassemblement National,Vice-présidente de l'Assemblée nationale,Lot-et-Garonne (2,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Sébastien,Chenu,M,Rassemblement National,Vice-président de l'Assemblée nationale,Nord (19,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Marie-Agnès,Poussier-Winsback,F,Horizons & Indépendants,Vice-présidente de l'Assemblée nationale,Seine-Maritime (9,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Christophe,Blanchet,M,Les Démocrates,Vice-président de l'Assemblée nationale,Calvados (4,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Clémence,Guetté,F,La France insoumise - Nouveau Front Populaire,Vice-présidente de l'Assemblée nationale,Val-de-Marne (2,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Nadège,Abomangoli,F,La France insoumise - Nouveau Front Populaire,Vice-présidente de l'Assemblée nationale,Seine-Saint-Denis (10,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
Yaël,Braun-Pivet,F,Ensemble pour la République,Présidente de l'Assemblée nationale,Yvelines (5,circonscription,https://www2.assemblee-nationale.fr/17/le-bureau-de-l-assemblee-nationale
