personne_prenom,personne_nom,personne_genre,groupe_politique_libelle,poste_libelle,zone_geographique_libelle,zone_geographique_type
David,Taupiac,M,"Libertés, Indépendants, Outre-mer et Territoires",Secrétaire de l'Assemblée nationale,Gers (2,circonscription
Bertrand,Sorre,M,Ensemble pour la République,Secrétaire de l'Assemblée nationale,Manche (2,circonscription
Sabrina,Sebaihi,F,Écologiste et Social,Secrétaire de l'Assemblée nationale,Hauts-de-Seine (4,circonscription
Mereana,Arbelot,F,Gauche Démocrate et Républicaine,Secrétaire de l'Assemblée nationale,Polynésie Française (3,circonscription
Sébastien,Peytavie,M,Écologiste et Social,Secrétaire de l'Assemblée nationale,Dordogne (4,circonscription
Maxime,Michelet,M,Union des droites pour la République,Secrétaire de l'Assemblée nationale,Marne (3,circonscription
Pierre,Henriet,M,Horizons & Indépendants,Secrétaire de l'Assemblée nationale,Vendée (5,circonscription
Marine,Hamelet,F,Rassemblement National,Secrétaire de l'Assemblée nationale,Tarn-et-Garonne (2,circonscription
Inaki,Echaniz,M,Socialistes et apparentés,Secrétaire de l'Assemblée nationale,Pyrénées-Atlantiques (4,circonscription
Gaëtan,Dussausaye,M,Rassemblement National,Secrétaire de l'Assemblée nationale,Vosges (2,circonscription
Blandine,Brocard,F,Les Démocrates,Secrétaire de l'Assemblée nationale,Rhône (5,circonscription
Xavier,Breton,M,Droite Républicaine,Secrétaire de l'Assemblée nationale,Ain (1,circonscription
Michèle,Tabarot,F,Droite Républicaine,Questeure de l'Assemblée nationale,Alpes-Maritimes (9,circonscription
Brigitte,Klinkert,F,Ensemble pour la République,Questeure de l'Assemblée nationale,Haut-Rhin (1,circonscription
Christine,Beaune,F,Socialistes et apparentés,Questeure de l'Assemblée nationale,Puy-de-Dôme (2,circonscription
Hélène,Laporte,F,Rassemblement National,Vice-présidente de l'Assemblée nationale,Lot-et-Garonne (2,circonscription
Sébastien,Chenu,M,Rassemblement National,Vice-président de l'Assemblée nationale,Nord (19,circonscription
Marie-Agnès,Poussier-Winsback,F,Horizons & Indépendants,Vice-présidente de l'Assemblée nationale,Seine-Maritime (9,circonscription
Christophe,Blanchet,M,Les Démocrates,Vice-président de l'Assemblée nationale,Calvados (4,circonscription
Clémence,Guetté,F,La France insoumise - Nouveau Front Populaire,Vice-présidente de l'Assemblée nationale,Val-de-Marne (2,circonscription
Nadège,Abomangoli,F,La France insoumise - Nouveau Front Populaire,Vice-présidente de l'Assemblée nationale,Seine-Saint-Denis (10,circonscription
Yaël,Braun-Pivet,F,Ensemble pour la République,Présidente de l'Assemblée nationale,Yvelines (5,circonscription
